timeStep,idleTimer,ueON,ueConnect,ueInactive,ueIdle,ueOFF,cpuLoad,memoryLoad
86601,719.14844,648000,840,49560,597600,0,840,143108992
86602,719.14844,648000,840,49560,597600,0,840,143108992
86603,719.14844,648000,840,49560,597600,0,840,143108992
86604,719.14844,648000,840,49560,597600,0,840,143108992
86605,719.14844,648000,840,49560,597600,0,840,143108992
86606,719.14844,648000,840,49560,597600,0,840,143108992
86607,719.14844,648000,840,49560,597600,0,840,143108992
86608,719.14844,648000,840,49560,597600,0,840,143108992
86609,719.14844,648000,840,49560,597600,0,840,143108992
86610,719.14844,648000,840,49560,597600,0,840,143108992
86611,719.14844,648000,840,49560,597600,0,840,143108992
86612,719.14844,648000,840,49560,597600,0,840,143108992
86613,719.14844,648000,840,49560,597600,0,840,143108992
86614,719.14844,648000,840,49560,597600,0,840,143108992
86615,719.14844,648000,840,49560,597600,0,840,143108992
86616,719.14844,648000,840,49560,597600,0,840,143108992
86617,719.14844,648000,840,49560,597600,0,840,143108992
86618,719.14844,648000,840,49560,597600,0,840,143108992
86619,719.14844,648000,840,49560,597600,0,840,143108992
86620,719.14844,648000,840,49560,597600,0,840,143108992
86621,719.14844,648000,840,49560,597600,0,840,143108992
86622,719.14844,648000,840,49560,597600,0,840,143108992
86623,719.14844,648000,840,49560,597600,0,840,143108992
86624,719.14844,648000,840,49560,597600,0,840,143108992
86625,719.14844,648000,840,49560,597600,0,840,143108992
86626,719.14844,648000,840,49560,597600,0,840,143108992
86627,719.14844,648000,840,49560,597600,0,840,143108992
86628,719.14844,648000,840,49560,597600,0,840,143108992
86629,719.14844,648000,840,49560,597600,0,840,143108992
86630,719.14844,648000,840,49560,597600,0,840,143108992
86631,719.14844,648000,840,49560,597600,0,840,143108992
86632,719.14844,648000,840,49560,597600,0,840,143108992
86633,719.14844,648000,840,49560,597600,0,840,143108992
86634,719.14844,648000,840,49560,597600,0,840,143108992
86635,719.14844,648000,840,49560,597600,0,840,143108992
86636,719.14844,648000,840,49560,597600,0,840,143108992
86637,719.14844,648000,840,49560,597600,0,840,143108992
86638,719.14844,648000,840,49560,597600,0,840,143108992
86639,719.14844,648000,840,49560,597600,0,840,143108992
86640,719.14844,648000,840,49560,597600,0,840,143108992
86641,719.14844,648000,840,49560,597600,0,840,143108992
86642,719.14844,648000,840,49560,597600,0,840,143108992
86643,719.14844,648000,840,49560,597600,0,840,143108992
86644,719.14844,648000,840,49560,597600,0,840,143108992
86645,719.14844,648000,840,49560,597600,0,840,143108992
86646,719.14844,648000,840,49560,597600,0,840,143108992
86647,719.14844,648000,840,49560,597600,0,840,143108992
86648,719.14844,648000,840,49560,597600,0,840,143108992
86649,719.14844,648000,840,49560,597600,0,840,143108992
86650,719.14844,648000,840,49560,597600,0,840,143108992
86651,1819.1238,648000,840,49560,597600,0,840,143108992
86652,1836.4791,648000,840,49560,597600,0,840,143108992
86653,1853.2168,648000,840,49560,597600,0,840,143108992
86654,1869.3721,648000,840,49560,597600,0,840,143108992
86655,1884.9774,648000,840,49560,597600,0,840,143108992
86656,1900.0635,648000,840,49560,597600,0,840,143108992
86657,1914.6582,648000,840,49560,597600,0,840,143108992
86658,1928.7876,648000,840,49560,597600,0,840,143108992
86659,1942.4761,648000,840,49560,597600,0,840,143108992
86660,1955.7463,648000,840,49560,597600,0,840,143108992
86661,1968.6196,648000,840,49560,597600,0,840,143108992
86662,1981.1156,648000,840,49560,597600,0,840,143108992
86663,1993.2526,648000,840,49560,597600,0,840,143108992
86664,2005.0481,648000,840,49560,597600,0,840,143108992
86665,2016.5183,648000,840,49560,597600,0,840,143108992
86666,2027.6783,648000,840,49560,597600,0,840,143108992
86667,2038.5426,648000,840,49560,597600,0,840,143108992
86668,2049.1243,648000,840,49560,597600,0,840,143108992
86669,2059.4363,648000,840,49560,597600,0,840,143108992
86670,2069.4902,648000,840,49560,597600,0,840,143108992
86671,2079.2976,648000,840,49560,597600,0,840,143108992
86672,2088.869,648000,840,49560,597600,0,840,143108992
86673,2098.2139,648000,840,49560,597600,0,840,143108992
86674,2107.3423,648000,840,49560,597600,0,840,143108992
86675,2116.2627,648000,840,49560,597600,0,840,143108992
86676,2124.984,648000,840,49560,597600,0,840,143108992
86677,2133.5137,648000,840,49560,597600,0,840,143108992
86678,2141.8596,648000,840,49560,597600,0,840,143108992
86679,2150.0288,648000,840,49560,597600,0,840,143108992
86680,2158.0286,648000,840,49560,597600,0,840,143108992
86681,2165.8647,648000,840,49560,597600,0,840,143108992
86682,2173.5437,648000,840,49560,597600,0,840,143108992
86683,2181.0713,648000,840,49560,597600,0,840,143108992
86684,2188.4534,648000,840,49560,597600,0,840,143108992
86685,2195.6948,648000,840,49560,597600,0,840,143108992
86686,2202.8008,648000,840,49560,597600,0,840,143108992
86687,2209.7764,648000,840,49560,597600,0,840,143108992
86688,2216.626,648000,840,49560,597600,0,840,143108992
86689,2223.354,648000,840,49560,597600,0,840,143108992
86690,2229.9646,648000,840,49560,597600,0,840,143108992
86691,2236.4617,648000,840,49560,597600,0,840,143108992
86692,2242.849,648000,840,49560,597600,0,840,143108992
86693,2249.1306,648000,840,49560,597600,0,840,143108992
86694,2255.3096,648000,840,49560,597600,0,840,143108992
86695,2261.3894,648000,840,49560,597600,0,840,143108992
86696,2267.3735,648000,840,49560,597600,0,840,143108992
86697,2273.2646,648000,840,49560,597600,0,840,143108992
86698,2279.0657,648000,840,49560,597600,0,840,143108992
86699,2284.7798,648000,840,49560,597600,0,840,143108992
86700,2290.4094,648000,840,49560,597600,0,840,143108992
